name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Fusicatenibacter saccharivorans	528	S	1346758	2411965	3758723	0.10514
Fusicatenibacter sp900772675	4803	S	14951	1418	16369	0.00046
MGYG000004233	5425	S	476	31	507	0.00001
UMGS1375 sp900066615	368	S	1065117	1582396	2647513	0.07406
UMGS1375 sp900551235	5322	S	2063	666	2729	0.00008
Roseburia hominis	3527	S	598532	705796	1304328	0.03649
Roseburia sp900552665	553	S	251713	241174	492887	0.01379
Roseburia sp900756925	5931	S	12648	981	13629	0.00038
Roseburia sp003483745	1065	S	11482	1550	13032	0.00036
Roseburia sp900542495	5468	S	9459	4930	14389	0.00040
MGYG000004752	5968	S	395	2	397	0.00001
Agathobacter rectalis	3500	S	392227	348210	740437	0.02071
Agathobacter faecis	4822	S	63905	55499	119404	0.00334
Agathobacter sp900543445	2485	S	15762	974	16736	0.00047
Agathobacter sp900547695	1842	S	3644	950	4594	0.00013
Agathobacter sp900552085	1062	S	3482	372	3854	0.00011
Agathobacter sp900548765	964	S	2304	125	2429	0.00007
Agathobacter sp900546625	3698	S	1573	237	1810	0.00005
Enterocloster citroniae	452	S	107391	58017	165408	0.00463
Enterocloster sp000155435	2012	S	106036	30895	136931	0.00383
Enterocloster clostridioformis	2110	S	48299	79231	127530	0.00357
Enterocloster bolteae	2298	S	19265	22503	41768	0.00117
Enterocloster sp900541315	1909	S	16313	8674	24987	0.00070
Enterocloster sp900543885	1384	S	14322	10043	24365	0.00068
Enterocloster sp900551225	3873	S	5566	50	5616	0.00016
Enterocloster sp900555045	4051	S	1257	71	1328	0.00004
MGYG000001954	2868	S	1183	593	1776	0.00005
Enterocloster sp900547035	2449	S	797	346	1143	0.00003
Enterocloster sp900538485	1705	S	659	89	748	0.00002
Enterocloster sp900753815	2887	S	419	22	441	0.00001
Enterocloster sp900540675	5259	S	265	116	381	0.00001
Enterocloster sp900549235	2470	S	218	36	254	0.00001
Enterocloster clostridioformis_A	2404	S	109	150	259	0.00001
Enterocloster sp005845215	1686	S	107	23	130	0.00000
Blautia_A hydrogenotrophica	163	S	65810	6117	71927	0.00201
Blautia_A sp900066145	455	S	55201	80759	135960	0.00380
Blautia_A wexlerae_A	2045	S	31898	99003	130901	0.00366
Blautia_A sp900066335	544	S	12866	15041	27907	0.00078
Blautia_A obeum_B	529	S	10180	27275	37455	0.00105
