name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Roseburia hominis	3527	S	2036619	2768734	4805353	0.11149
Roseburia sp900552665	553	S	689819	758587	1448406	0.03361
Roseburia sp003483745	1065	S	27314	4390	31704	0.00074
Roseburia sp900756925	5931	S	12474	1135	13609	0.00032
Roseburia sp900542495	5468	S	10325	6194	16519	0.00038
MGYG000004752	5968	S	726	6	732	0.00002
Agathobacter rectalis	3500	S	715695	717946	1433641	0.03326
Agathobacter faecis	4822	S	153584	156641	310225	0.00720
Agathobacter sp900543445	2485	S	37098	2659	39757	0.00092
Agathobacter sp900552085	1062	S	8616	1069	9685	0.00022
Agathobacter sp900548765	964	S	5057	323	5380	0.00012
Agathobacter sp900547695	1842	S	3061	932	3993	0.00009
Agathobacter sp900546625	3698	S	2231	314	2545	0.00006
UMGS1375 sp900066615	368	S	741836	1270214	2012050	0.04668
UMGS1375 sp900551235	5322	S	1076	397	1473	0.00003
Acetatifactor sp900066365	178	S	337346	578679	916025	0.02125
MGYG000004203	5391	S	11684	2876	14560	0.00034
Acetatifactor sp900766575	1111	S	11442	4498	15940	0.00037
Acetatifactor sp900760705	2769	S	745	138	883	0.00002
Enterocloster citroniae	452	S	113623	63459	177082	0.00411
Enterocloster sp000155435	2012	S	96303	29581	125884	0.00292
Enterocloster clostridioformis	2110	S	57213	87925	145138	0.00337
Enterocloster bolteae	2298	S	28103	32673	60776	0.00141
Enterocloster sp900541315	1909	S	13424	6532	19956	0.00046
Enterocloster sp900543885	1384	S	10007	7164	17171	0.00040
Enterocloster sp900551225	3873	S	8162	75	8237	0.00019
MGYG000001954	2868	S	1947	909	2856	0.00007
Enterocloster sp900555045	4051	S	1438	74	1512	0.00004
Enterocloster sp900547035	2449	S	708	292	1000	0.00002
Enterocloster sp900753815	2887	S	705	40	745	0.00002
Enterocloster sp900538485	1705	S	684	100	784	0.00002
Enterocloster sp900540675	5259	S	268	134	402	0.00001
Enterocloster sp900549235	2470	S	230	42	272	0.00001
Enterocloster sp005845215	1686	S	162	31	193	0.00000
Enterocloster clostridioformis_A	2404	S	131	159	290	0.00001
Fusicatenibacter saccharivorans	528	S	434413	891310	1325723	0.03076
Fusicatenibacter sp900772675	4803	S	4839	544	5383	0.00012
MGYG000004233	5425	S	262	21	283	0.00001
Blautia_A hydrogenotrophica	163	S	64169	6795	70964	0.00165
Blautia_A sp900066145	455	S	43692	73315	117007	0.00271
Blautia_A wexlerae_A	2045	S	25143	85579	110722	0.00257
Blautia_A sp900066335	544	S	11173	14820	25993	0.00060
Blautia_A sp003474435	474	S	6898	10522	17420	0.00040
Blautia_A obeum_B	529	S	6585	19456	26041	0.00060
Blautia_A sp000436615	3260	S	6265	13415	19680	0.00046
Blautia_A luti	431	S	5916	8564	14480	0.00034
Blautia_A sp900548245	5947	S	4864	7360	12224	0.00028
Blautia_A sp003471165	454	S	4138	7176	11314	0.00026
Blautia_A obeum	467	S	2821	6039	8860	0.00021
Blautia_A sp900120195	413	S	837	2500	3337	0.00008
MGYG000001189	1846	S	493	190	683	0.00002
Blautia_A sp900763175	1172	S	241	62	303	0.00001
Blautia_A sp900551075	4024	S	193	3	196	0.00000
Blautia_A sp900551715	4041	S	125	24	149	0.00000
Blautia_A wexlerae_B	6002	S	112	395	507	0.00001
Blautia_A sp900542045	3881	S	89	3	92	0.00000
Blautia_A sp900549015	4977	S	47	82	129	0.00000
Blautia_A sp900547615	1888	S	32	42	74	0.00000
UBA9502 sp003480315	540	S	78813	119323	198136	0.00460
UBA9502 sp003506385	556	S	56169	143251	199420	0.00463
UBA9502 sp900540335	2466	S	364	43	407	0.00001
CAG-81 sp900066535	460	S	224492	242097	466589	0.01083
MGYG000004582	5790	S	1929	85	2014	0.00005
MGYG000004677	5889	S	146	1	147	0.00000
MGYG000002628	3645	S	118	4	122	0.00000
Clostridium_Q saccharolyticum_A	3490	S	199417	197926	397343	0.00922
Clostridium_Q sp900547735	2464	S	751	26	777	0.00002
Clostridium_Q sp000435655	4123	S	300	29	329	0.00001
MGYG000002170	3103	S	93	9	102	0.00000
Eubacterium_G sp000434315	366	S	93241	77534	170775	0.00396
Eubacterium_G sp000432355	410	S	29638	36529	66167	0.00154
Eubacterium_G sp000435815	459	S	11912	16374	28286	0.00066
Eubacterium_G sp900550135	2492	S	295	358	653	0.00002
Eubacterium_G sp900548465	5221	S	269	297	566	0.00001
MGYG000001032	1669	S	44	5	49	0.00000
UBA7182 sp003480725	370	S	153553	141664	295217	0.00685
Lachnospira rogosae_A	245	S	66689	61062	127751	0.00296
Lachnospira sp000436475	3600	S	52783	22940	75723	0.00176
Lachnospira sp900772425	5576	S	3593	324	3917	0.00009
Lachnospira sp900545725	5581	S	628	70	698	0.00002
Lachnospira sp900316325	5511	S	337	12	349	0.00001
Lachnospira sp900547255	1192	S	121	4	125	0.00000
Lachnospira sp900552795	2915	S	54	8	62	0.00000
TF01-11 sp001414325	526	S	26611	51040	77651	0.00180
TF01-11 sp003529475	3255	S	14261	26000	40261	0.00093
TF01-11 sp000436755	2716	S	9509	15624	25133	0.00058
TF01-11 sp003524945	567	S	4981	8452	13433	0.00031
RUG115 sp900066395	388	S	116383	102978	219361	0.00509
Lactonifactor sp009677585	6089	S	115887	19353	135240	0.00314
COE1 sp001916965	5628	S	109211	41833	151044	0.00350
Lachnoclostridium_A sp003464085	566	S	66488	1202	67690	0.00157
Lachnoclostridium_A edouardi	3413	S	26133	7756	33889	0.00079
Lachnoclostridium_A sp002160755	1915	S	10127	83	10210	0.00024
MGYG000001952	2865	S	5199	700	5899	0.00014
Hungatella sp005845265	382	S	96352	63473	159825	0.00371
Anaerobutyricum hallii	543	S	3874	67295	71169	0.00165
Anaerobutyricum soehngenii	244	S	1181	22147	23328	0.00054
Anaerobutyricum sp002161065	3725	S	66	6	72	0.00000
Eubacterium_I sp900066595	207	S	66200	53197	119397	0.00277
Eubacterium_I sp900546495	1596	S	427	124	551	0.00001
AF33-28 sp003477885	457	S	66062	16871	82933	0.00192
Dorea_A longicatena_B	3241	S	53240	86172	139412	0.00323
Mediterraneibacter sp900752395	5145	S	19075	1963	21038	0.00049
Mediterraneibacter lactaris	2011	S	16236	10338	26574	0.00062
Mediterraneibacter torques	2093	S	9796	10396	20192	0.00047
Mediterraneibacter massiliensis	2356	S	2219	758	2977	0.00007
MGYG000002772	3809	S	263	182	445	0.00001
MGYG000004609	5819	S	73	30	103	0.00000
MGYG000004558	5767	S	70	13	83	0.00000
MGYG000000545	1064	S	63	13	76	0.00000
Mediterraneibacter sp900555215	3616	S	49	2	51	0.00000
Mediterraneibacter sp900751785	1649	S	30	1	31	0.00000
MGYG000002150	3086	S	25	2	27	0.00000
Mediterraneibacter sp900553885	1872	S	23	8	31	0.00000
Coprococcus sp000433075	3251	S	25279	15926	41205	0.00096
Coprococcus sp000154245	2576	S	4646	17540	22186	0.00051
Coprococcus sp900761435	4307	S	2044	31	2075	0.00005
