name	MG	Con	2mo	4mo	6mo
Phocaeicola vulgatus	0.11149	0.25091	0.27628	0.2441	0.25884
Bacteroides eggerthii	0.03806	0.00204	0.00247	0.00559	0.00237
Agathobacter sp900543445	0.0357	0.00092	0.00092	0.00054	0.00047
Phocaeicola massiliensis	0.03469	0.03364	0.04222	0.05066	0.03253
Phocaeicola dorei	0.03308	0.0262	0.0322	0.05022	0.02677
Bacteroides sp003545565	0.02845	0.00265	0.00446	0.00977	0.00303
Phocaeicola sp000436795	0.02802	0.00668	0.01051	0.01702	0.00895
Agathobacter rectalis	0.02572	0.03326	0.02797	0.02183	0.02071
Alistipes putredinis	0.02439	0.00038	0.0003	0.00058	0.00032
Faecalibacterium sp900539945	0.02396	0.00014	0.0001	0.00008	0.00015
Faecalibacterium prausnitzii_G	0.02297	0.00224	0.00149	0.0014	0.00149
Roseburia sp900552665	0.01967	0.03361	0.02533	0.02382	0.01379
Bacteroides cellulosilyticus	0.01878	0.02965	0.04072	0.05665	0.02715
Bacteroides xylanisolvens	0.01565	0.01067	0.0131	0.02505	0.00896
Parabacteroides merdae	0.0154	0.01047	0.00781	0.01189	0.00686
Bacteroides ovatus	0.01415	0.00891	0.01422	0.02162	0.00825
Phocaeicola sartorii	0.01339	0.00113	0.00126	0.0011	0.00128
Phocaeicola sp000432735	0.01335	0.00017	0.00032	0.00033	0.00023
Alistipes shahii	0.01316	0.00007	0.00006	0.00019	0.0001
Anaerobutyricum hallii	0.01193	0.00165	0.00166	0.0008	0.00137
Parabacteroides distasonis	0.01066	0.01937	0.01799	0.01359	0.02125
Agathobaculum butyriciproducens	0.01018	0.00027	0.00036	0.00017	0.00055
Blautia_A wexlerae_A	0.01001	0.00257	0.00196	0.00102	0.00366
Fusicatenibacter saccharivorans	0.00969	0.03076	0.01666	0.00833	0.10514
Ruminococcus_E sp900755995	0.00949	0.00005	0.00003	0.00003	0.00003
Acetatifactor sp900066365	0.00859	0.02125	0.01369	0.01392	0.00956
Faecalibacterium prausnitzii_C	0.00757	0.00003	0.00002	0.00002	0.00002
Blautia_A sp900066335	0.00753	0.0006	0.00023	0.00019	0.00078
Phascolarctobacterium sp900551745	0.00719	0.00001	0	0.00002	0.00001
Bacteroides sp900765785	0.00697	0.00123	0.0011	0.00091	0.00148
Escherichia coli_D	0.00673	0.00079	0.00098	0.00029	0.00147
Ruminococcus_D sp900539095	0.00661	0	0	0	0
Agathobacter faecis	0.00645	0.0072	0.00689	0.00404	0.00334
MGYG000000876	0.0061	0.00007	0.00004	0.00005	0.00004
Dorea_A longicatena_B	0.00599	0.00323	0.00233	0.00198	0.01226
Bacteroides sp002491635	0.00563	0.00384	0.0054	0.00698	0.00345
CAG-274 sp000432155	0.00557	0.00004	0.00001	0.00002	0.0001
Agathobacter sp900546625	0.00555	0.00006	0.00004	0.00003	0.00005
Roseburia hominis	0.0055	0.11149	0.10084	0.08757	0.03649
Phocaeicola plebeius	0.00548	0.01173	0.01581	0.02446	0.01294
Blautia_A obeum	0.00534	0.00021	0.00007	0.00008	0.00027
Faecalibacterium sp003449675	0.00516	0.00004	0.00002	0.00002	0.00002
Bifidobacterium ruminantium	0.00464	0	0	0	0
Bacteroides stercorirosoris	0.00459	0.00206	0.00315	0.00331	0.00216
Faecalibacterium prausnitzii	0.00456	0.005	0.00305	0.00364	0.00317
UMGS1375 sp900066615	0.00442	0.04668	0.0324	0.01307	0.07406
Roseburia sp003483745	0.00428	0.00074	0.0006	0.00033	0.00036
Bacteroides oleiciplenus	0.00418	0.0022	0.00367	0.00488	0.00232
Bacteroides intestinalis	0.0041	0.01214	0.01589	0.0191	0.01174
Phocaeicola coprophilus	0.00365	0.00124	0.00151	0.00236	0.0016
Ruminococcus_E bromii	0.00357	0.00386	0.00309	0.00195	0.00231
Bacteroides fluxus	0.00352	0.00185	0.00285	0.00642	0.00206
Blautia_A sp000436615	0.00334	0.00046	0.00015	0.00019	0.00018
Gemmiger sp900539695	0.00325	0.00001	0	0.00001	0
Faecalibacterium prausnitzii_D	0.0032	0.00077	0.00061	0.00058	0.0006
Mediterraneibacter torques	0.00291	0.00047	0.00036	0.00023	0.00059
MGYG000002772	0.00288	0.00001	0.00001	0.00001	0.00002
MGYG000002575	0.00287	0.00009	0.00009	0.0001	0.00008
Roseburia sp900542495	0.00287	0.00038	0.00029	0.00026	0.0004
Phocaeicola sp900542985	0.00285	0.00006	0.0001	0.00012	0.00008
Faecalibacterium prausnitzii_I	0.00282	0.0008	0.00058	0.00047	0.00048
Blautia_A sp900066145	0.00271	0.00271	0.0015	0.00108	0.0038
CAG-245 sp900761475	0.0027	0.0005	0.00037	0.00031	0.00152
Bifidobacterium infantis	0.00258	0.00007	0.00021	0.00006	0.00011
Enterocloster sp900541315	0.00256	0.00046	0.00028	0.0001	0.0007
Faecalibacterium prausnitzii_J	0.00253	0.00002	0.00001	0.00001	0.00001
Acetatifactor sp900766575	0.00251	0.00037	0.00026	0.00013	0.00058
Phocaeicola sp902388365	0.0025	0.00034	0.00038	0.00036	0.00038
Phocaeicola sp900066445	0.00249	0.01004	0.01298	0.01879	0.01063
Bilophila wadsworthia	0.00235	0.00028	0.00026	0.00016	0.00029
Blautia_A sp003471165	0.00231	0.00026	0.00022	0.00012	0.00031
Eubacterium_G sp000434315	0.00223	0.00396	0.0029	0.00242	0.00328
Blautia_A wexlerae_B	0.00222	0.00001	0.00001	0	0.00001
MGYG000000732	0.00218	0.00002	0.00001	0.00001	0.00005
Faecalibacillus intestinalis	0.00211	0.0005	0.00074	0.0004	0.00076
MGYG000002585	0.00209	0.00002	0.00003	0.00005	0.00002
Faecalibacterium sp900758465	0.00208	0.00001	0.00001	0.00001	0.00001
Bacteroides salyersiae	0.00201	0.00599	0.00835	0.01429	0.0053
Faecalibacterium sp900765105	0.00199	0	0	0	0
MGYG000004188	0.00192	0.00002	0.00003	0.00005	0.00002
Bacteroides sp900547205	0.00189	0.00219	0.00382	0.0054	0.00159
Lachnospira sp000436475	0.00185	0.00176	0.0016	0.00103	0.00084
Faecalibacterium sp900551435	0.00176	0.00003	0.00003	0.00003	0.00004
CAG-510 sp000434615	0.00172	0.00001	0.00001	0.00001	0.00001
Phascolarctobacterium sp900545535	0.00169	0	0	0.00001	0
Dorea formicigenerans	0.00167	0.00032	0.00024	0.00017	0.00089
Alistipes onderdonkii	0.00164	0.00008	0.00007	0.00023	0.00002
MGYG000002610	0.00154	0.00001	0	0	0
CAG-103 sp000432375	0.00152	0.00001	0	0	0
Alistipes finegoldii	0.0015	0.00002	0.00002	0.00002	0.00003
Phocaeicola sp900546355	0.00146	0.00003	0.00005	0.00005	0.00004
MGYG000004650	0.00145	0.00003	0.00004	0.00003	0.00004
MGYG000002704	0.00141	0	0	0	0
Bacteroides fragilis	0.00139	0.00536	0.00713	0.01109	0.00462
Bifidobacterium catenulatum	0.00138	0.00012	0.00017	0.00018	0.00011
MGYG000002680	0.00134	0	0	0	0
Phocaeicola sp000434735	0.00132	0.00003	0.00005	0.00006	0.00004
Phocaeicola sp900066455	0.00132	0.00396	0.00544	0.00803	0.00474
Veillonella sp900552445	0.00132	0	0.00001	0.00001	0.00001
Holdemanella sp900547815	0.00132	0.00009	0.0001	0.00009	0.0001
Phocaeicola sp900553185	0.00128	0.00008	0.00009	0.00009	0.00009
Paraprevotella xylaniphila	0.00128	0.00017	0.0002	0.00022	0.00019
Streptococcus vestibularis	0.00124	0	0	0	0
UBA9502 sp003480315	0.00122	0.0046	0.00325	0.00145	0.00533
Barnesiella intestinihominis	0.0012	0.00032	0.00029	0.00032	0.00039
UBA7160 sp902363665	0.00117	0.00177	0.00129	0.00075	0.00275
Bacteroides pyogenes	0.00114	0.00004	0.00005	0.00008	0.00006
Prevotella corporis	0.00114	0.00076	0.00082	0.00071	0.00074
Lachnospira rogosae_A	0.00114	0.00296	0.00203	0.00142	0.00386
MGYG000002223	0.00114	0.00001	0	0.00001	0.00001
Paraprevotella clara	0.00113	0.00081	0.00087	0.00085	0.00087
MGYG000003112	0.00111	0	0	0	0
Phocaeicola sp900551065	0.0011	0.00004	0.00006	0.00009	0.00005
Alistipes sp001941065	0.0011	0	0	0	0
NSJ-32 sp014384895	0.00109	0.00001	0.00001	0	0.00002
Phocaeicola sp002161565	0.00106	0.00011	0.00014	0.00019	0.00013
MGYG000002614	0.00105	0.00002	0.00003	0.00003	0.00002
Faecalibacterium sp900539885	0.00103	0.00001	0.00001	0	0
Agathobacter sp900547695	0.00101	0.00009	0.00007	0.00004	0.00013
Lawsonibacter sp900066825	0.001	0.00043	0.00043	0.00013	0.00066
Lawsonibacter asaccharolyticus	0.00096	0.0001	0.00007	0.00005	0.0001
UBA9502 sp003506385	0.00095	0.00463	0.00348	0.00141	0.00612
Clostridium_Q saccharolyticum_A	0.00094	0.00922	0.00831	0.00508	0.00897
Anaerobutyricum soehngenii	0.00093	0.00054	0.00039	0.00031	0.00024
Paraprevotella sp900546665	0.00092	0.00001	0.00002	0.00002	0.00001
Bacteroides sp900553815	0.00091	0.00002	0.00002	0.00003	0.00002
Phocaeicola salanitronis	0.00089	0.00084	0.00148	0.00125	0.0008
UBA3402 sp003478355	0.00089	0.00192	0.0015	0.00062	0.00232
Blautia_A luti	0.00086	0.00034	0.00025	0.00016	0.00037
CAG-81 sp900066535	0.00085	0.01083	0.01091	0.00848	0.01568
Phocaeicola sp900544675	0.00084	0.00002	0.00003	0.00003	0.00002
Phocaeicola sp900552075	0.00083	0.00001	0.00002	0.00003	0.00002
Prevotella rara	0.0008	0.00008	0.00008	0.00009	0.0001
Schaedlerella sp900066545	0.0008	0.0003	0.00028	0.00011	0.00032
Phocaeicola sp900546095	0.00079	0.00002	0.00002	0.00003	0.00002
Eubacterium_G sp000432355	0.00079	0.00154	0.0011	0.00094	0.002
Collinsella sp002232035	0.00079	0	0	0	0
CAG-110 sp003525905	0.00078	0.00003	0.00001	0.00001	0.00003
MGYG000001807	0.00077	0.00001	0.00002	0.00002	0.00002
Bacteroides togonis	0.00077	0.00006	0.00006	0.0001	0.00007
Phascolarctobacterium sp900544795	0.00077	0.00016	0.00012	0.00045	0.00013
Muricomes contortus_B	0.00076	0.00008	0.00005	0.00002	0.00004
CAG-269 sp900754285	0.00076	0.00003	0.00002	0.00001	0.00007
Parabacteroides sp900760525	0.00075	0.00001	0.00001	0.00001	0.00001
Blautia_A sp900763175	0.00074	0.00001	0.00001	0	0.00001
RUG115 sp900066395	0.00074	0.00509	0.00493	0.00378	0.00196
Mediterraneibacter_A butyricigenes	0.00074	0.00032	0.00024	0.00016	0.0003
Dysosmobacter sp900556925	0.00074	0	0	0	0
Phocaeicola sp900551445	0.00073	0.00002	0.00003	0.00004	0.00002
Prevotella sp000436595	0.00073	0.00963	0.0156	0.0197	0.00971
Fusicatenibacter sp900772675	0.00073	0.00012	0.00006	0.00003	0.00046
Eubacterium_G sp900550135	0.00072	0.00002	0.00001	0.00001	0.00001
Ruminococcus_C sp000437175	0.00072	0.00001	0.00001	0.00001	0.00002
Phocaeicola sp002161765	0.0007	0.00002	0.00003	0.00003	0.00002
AM51-8 sp900761925	0.00068	0.00001	0	0	0.00001
MGYG000002727	0.00067	0.00001	0.00002	0.00001	0.00003
Parabacteroides faecis	0.00065	0.0002	0.00015	0.00021	0.00027
Eubacterium_I sp900546495	0.00064	0.00001	0.00001	0	0.00004
Faecalibacterium sp900540455	0.00064	0	0	0	0
Methanobrevibacter_A sp900766745	0.00062	0.00001	0.00001	0.00001	0.00001
CAG-485 sp900554845	0.0006	0.00001	0.00002	0.00002	0.00002
Schaedlerella glycyrrhizinilytica	0.0006	0.00049	0.0005	0.00033	0.00037
Prevotella sp000436695	0.00059	0.00001	0.00002	0.00002	0.00002
An172 sp002160515	0.00059	0.00011	0.00008	0.00005	0.00008
Sellimonas intestinalis	0.00058	0.00012	0.00007	0.00006	0.00008
Ruminococcus_C sp900765125	0.00058	0	0	0	0.00001
Blautia_A sp900548245	0.00057	0.00028	0.00021	0.00013	0.00031
Bacteroides neonati	0.00056	0.00113	0.0013	0.00121	0.00089
Blautia_A sp003474435	0.00056	0.0004	0.00033	0.00024	0.00039
Bacteroides_F pectinophilus	0.00054	0.0014	0.00114	0.00049	0.00174
Enterocloster citroniae	0.00052	0.00411	0.00236	0.0011	0.00463
Parabacteroides sp003480915	0.00051	0.00026	0.00024	0.0003	0.00032
Parabacteroides sp900548175	0.0005	0.00005	0.00005	0.00006	0.00006
Parabacteroides sp900540715	0.0005	0.00001	0.00002	0.00002	0.00001
MGYG000004180	0.0005	0.00001	0.00001	0.00001	0.00001
Evtepia sp900546255	0.0005	0	0	0	0
MGYG000001112	0.0005	0	0	0	0
