category,L-30_1,L-30_2,L-30_3,FD30_1,FD30_2,FD30_3,FD90_1,FD90_2,FD90_3,FD150_1,FD150_2,FD150_3,R+1_1,R+1_2,R+1_3,R+7_1,R+7_2,R+7_3
Segatella_copri,0.0011225660385388,0.0006946157152086,0.112131205252258,0.0006872441995335,0.0004972456446909,0.0294581465487471,0.0006927242823339,0.0003796686883138,0.0166879454560347,0.0005759580509915,0.0005430473250195,0.052238209017799,0.0008001266984088,0.0007619474782746,0.0092630736695264,0.0009458047034258,0.0006593990942197,0.108020990270696
Segatella_hominis,0.0002213519110771,2.86348287356698e-05,0.0101313992400431,0.0001314566464805,2.34333829485985e-05,0.0025799350324015,0.0001452020496765,1.21475983818387e-05,0.0014320828705604,0.0001054145337943,2.34990052746794e-05,0.0046487248221544,0.0001756717580656,1.74584279445656e-05,0.0007384108543766,0.0002135489136972,5.92009591219314e-06,0.009179452952132
Segatella_oris,2.38473053370453e-06,4.69876533307322e-07,0.0019383410828951,4.678290548652e-06,5.3707391558911e-07,0.0005233805515996,5.20618036082995e-06,8.15463780262318e-07,0.0002993091474298,5.94129376362198e-06,7.62587911558104e-07,0.0009242667508016,3.07201885921325e-06,3.02906478533472e-07,0.0001209762931271,3.40597744931693e-06,0,0.002099645923009
Segatella_bryantii,0,8.84473474460842e-07,0.0015059764728634,0,0,0.0004351930116527,0,0,0.0003327895487643,0,0,0.000703683812635,0,0,0.0002256224530222,0,4.70287993024689e-07,0.0011566370638127
Segatella_baroniae,0,0,0.0022313323845939,0,0,0.0005925799240692,0,0,0.000362241020937,0,0,0.0010611251319982,0,0,0.000182519788437,0,0,0.0018732693376999
Paraprevotella_clara,2.75161215427446e-06,1.13323163915295e-06,0.0024861999441915,4.71146991424527e-06,2.12002861416754e-06,0.0006327488880629,4.46723863219602e-06,1.18101650934543e-06,0.0004424167112568,4.55151744464608e-06,1.9770797707062e-06,0.0011280756897143,3.72817822720055e-06,1.62468020304317e-06,0.0003030517241973,2.52512121242462e-06,6.36271990562814e-07,0.0023292405461629
Paraprevotella_xylaniphila,8.54528441244122e-05,3.55171379588182e-05,0.0002763823535896,6.64914486489263e-05,3.03588097548792e-05,0.0001145429409952,7.0636111605325e-05,1.64498728087399e-05,9.15372705560096e-05,4.55846632624096e-05,2.82439967243742e-05,0.0001750119575344,7.37582780469357e-05,2.53615333390298e-05,9.2648510989939e-05,9.36643798562155e-05,1.17018718264378e-05,0.0002935840679897
Prevotella_sp_E9-3,3.05734683808273e-07,4.45000716838111e-06,0.0013520629466129,0,4.21179018014618e-06,0.000366607575314,0,1.43409147563373e-06,0.0001986262076765,0,4.06713552830989e-06,0.0006604883405676,0,2.86384306977101e-06,7.88364028367626e-05,0,1.30020798071532e-06,0.0013276262669863
Prevotella_sp_E13-17,8.86630583043991e-07,2.76397960769013e-07,0.00134124644304,3.98152387119319e-07,8.76278493855917e-07,0.0003593280469047,4.70235645494318e-07,8.43583220961018e-07,0.0001906489279361,9.38099015308734e-07,4.51903947589988e-07,0.0006790560911869,4.7720681308167e-07,4.40591241503232e-07,7.94288793259069e-05,4.40428118446154e-07,6.91599989742189e-07,0.0014066538502121
Prevotella_sp_Rep29,3.05734683808273e-07,9.12113270537744e-07,0.001920490896671,0,9.89346686611519e-07,0.0005214510380454,0,3.65552729083108e-07,0.0002833142986575,3.47444079743975e-07,1.04502787880185e-06,0.0009463735243849,2.98254258176044e-07,5.5073905187904e-07,0.0001008320924962,0,0,0.0021050918332078
