name,L-30_1,L-30_2,L-30_3,FD30_1,FD30_2,FD30_3,FD90_1,FD90_2,FD90_3,FD150_1,FD150_2,FD150_3,R+1_1,R+1_2,R+1_3,R+7_1,R+7_2,R+7_3
Bacteroides xylanisolvens,0.01845,0.01011,0.00041,0.06599,0.13379,0.01021,0.08342,0.14445,0.01862,0.05454,0.10889,0.00464,0.10522,0.02294,0.01651,0.06271,0.11632,0.00567
Bacteroides fragilis,0.01051,0.00592,0.0001,0.04201,0.03431,0.00572,0.04317,0.04713,0.0142,0.02002,0.03531,0.00159,0.07508,0.00665,0.00892,0.01378,0.0161,0.00146
Bacteroides sp002491635,0.00482,0.00326,0.00021,0.03211,0.0228,0.00701,0.03118,0.00934,0.02243,0.02468,0.00884,0.00263,0.03121,0.00398,0.01006,0.0129,0.00248,0.00105
Bacteroides ovatus,0.01687,0.00438,0.00099,0.09126,0.08341,0.03613,0.07813,0.03185,0.05726,0.03808,0.05,0.01184,0.04652,0.0118,0.09856,0.01807,0.05238,0.02221
Bacteroides salyersiae,0.01868,0.00447,0.00026,0.03502,0.01222,0.00537,0.03224,0.01739,0.0106,0.01807,0.01599,0.00152,0.02259,0.00545,0.00874,0.02453,0.01266,0.00254
Bacteroides fluxus,0.00157,0.00348,0.00221,0.00482,0.00822,0.00902,0.00714,0.00474,0.01499,0.01164,0.00492,0.00233,0.01272,0.00324,0.00737,0.00453,0.00136,0.00295
Bacteroides sp900547205,0.00116,0.0006,0.00018,0.01675,0.01527,0.00346,0.00545,0.007,0.00678,0.00271,0.00791,0.00079,0.00645,0.00109,0.00703,0.00264,0.00521,0.00143
Bacteroides sp003545565,0.0026,0.00165,0.00015,0.02002,0.00997,0.00652,0.02145,0.00434,0.01732,0.01541,0.00448,0.00215,0.01873,0.00167,0.00863,0.00816,0.00132,0.00186
Bacteroides neonati,0.00088,0.00094,0.00059,0.00173,0.00191,0.00116,0.00219,0.00173,0.00229,0.00167,0.00162,0.00055,0.00261,0.00118,0.00175,0.00141,0.00128,0.00071
Bacteroides sp900766195,0.00846,0.00076,0.00027,0.00323,0.00124,0.00055,0.0091,0.00091,0.00058,0.01371,0.00087,0.00035,0.01197,0.00128,0.00052,0.00923,0.00117,0.00028
Bacteroides eggerthii,0.00062,0.00084,0.00024,0.00125,0.00297,0.00622,0.00234,0.00204,0.01302,0.00504,0.00158,0.00271,0.0042,0.00168,0.01349,0.00185,0.00098,0.00931
Bacteroides cellulosilyticus,0.00357,0.00048,0.00037,0.04938,0.00098,0.0024,0.02671,0.001,0.00349,0.0068,0.00091,0.00072,0.00904,0.00122,0.00226,0.00403,0.00201,0.00119
Bacteroides stercorirosoris,0.00076,0.00036,5e-05,0.00862,0.00105,0.00033,0.0051,0.00047,0.0006,0.00158,0.00054,0.00017,0.00216,0.00047,0.00044,0.00118,0.0004,0.00013
