gene,cluster,Name,SwissProt_gene,Product,SwissProt_product,COG_ID,COG_FID,KEGG_ID,KEGG_PID,KEGG_Pathway,GO_ID,GO_Name,GO_Category,EC_number,Pfam_ID
MGYG000000056_00423,4,MGYG000000056_00423,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000083_05777,2,MGYG000000083_05777,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000098_01635,5,MGYG000000098_01635,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000112_01922,4,MGYG000000112_01922,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000119_00567,2,MGYG000000119_00567,-,hypothetical protein,-,"COG0810,COG4942,COG3103,COG3883,COG4991,COG0791,COG0739,COG3584",MDRSSMMS,ko:K21471,-,-,-,-,-,-,-
MGYG000000123_05257,4,MGYG000000123_05257,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000126_00774,2,MGYG000000126_00774,-,putative response regulatory protein,-,COG4753,TK,-,-,-,"GO:0000160,GO:0003700,GO:0043565,GO:0006355",phosphorelay signal transduction system;DNA-binding transcription factor activity;sequence-specific DNA binding;regulation of DNA-templated transcription,"GO_BP,GO_MF,GO_MF,GO_BP",-,"PF00072,PF12833"
MGYG000000139_01096,2,rsxA,rnfA,Electron transport complex subunit RsxA,Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit A,COG4657,C,ko:K03617,-,-,"GO:0016020,GO:0022900",membrane;electron transport chain,"GO_CC,GO_BP",-,PF02508
MGYG000000141_03467,4,MGYG000000141_03467,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000144_01940,2,MGYG000000144_01940,-,hypothetical protein,-,COG3712,PT,-,-,-,-,-,-,-,"PF16344,PF04773"
MGYG000000144_02714,4,MGYG000000144_02714,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000144_00846,5,MGYG000000144_00846,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000180_01416,4,MGYG000000180_01416,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000184_02477,4,MGYG000000184_02477,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000198_02930,2,dctP_2,-,Solute-binding protein,-,COG1638,G,-,-,-,GO:0055085,transmembrane transport,GO_BP,-,PF03480
