gene,cluster,Name,SwissProt_gene,Product,SwissProt_product,COG_ID,COG_FID,KEGG_ID,KEGG_PID,KEGG_Pathway,GO_ID,GO_Name,GO_Category,EC_number,Pfam_ID
MGYG000000012_01541,1,csrA,csrA,Translational regulator CsrA,Translational regulator CsrA,COG1551,T,ko:K03563,"map02020,map02025,map02026,map05111",Two-component system;Biofilm formation - Pseudomonas aeruginosa;Biofilm formation - Escherichia coli;Biofilm formation - Vibrio cholerae,"GO:0003723,GO:0006109,GO:0006402",RNA binding;regulation of carbohydrate metabolic process;mRNA catabolic process,"GO_MF,GO_BP,GO_BP",-,PF02599
MGYG000000034_00238,1,addB,-,ATP-dependent helicase/deoxyribonuclease subunit B,-,COG3857,L,ko:K16899,-,-,"GO:0003677,GO:0003678,GO:0005524,GO:0016787",DNA binding;DNA helicase activity;ATP binding;hydrolase activity,"GO_MF,GO_MF,GO_MF,GO_MF",3.1.-.-,PF12705
MGYG000000041_02097,1,recD2_1,-,ATP-dependent RecD-like DNA helicase,-,COG0507,L,-,-,-,-,-,-,3.6.4.12,"PF13538,PF13604"
MGYG000000042_02596,2,gapA,gapA,Glyceraldehyde-3-phosphate dehydrogenase A,Glyceraldehyde-3-phosphate dehydrogenase,COG0057,G,ko:K00134,"map00010,map00710,map01100,map01110,map01120,map01200,map01230,map04066,map05010,map05130,map05132,map05415",Glycolysis / Gluconeogenesis;Carbon fixation in photosynthetic organisms;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;HIF-1 signaling pathway;Alzheimer disease;Pathogenic Escherichia coli infection;Salmonella infection;Diabetic cardiomyopathy,"GO:0016620,GO:0050661,GO:0051287,GO:0006006","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;NADP binding;NAD binding;glucose metabolic process","GO_MF,GO_MF,GO_MF,GO_BP",1.2.1.12,"PF02800,PF00044"
MGYG000000042_02486,1,dnaG_3,-,DNA primase,-,COG0358,L,-,-,-,"GO:0003677,GO:0003896,GO:0008270,GO:0006260",DNA binding;DNA primase activity;zinc ion binding;DNA replication,"GO_MF,GO_MF,GO_MF,GO_BP",2.7.7.-,"PF01807,PF08275,PF13662"
MGYG000000043_02459,3,MGYG000000043_02459,-,putative protein,-,COG1373,R,ko:K07133,-,-,GO:0016746,acyltransferase activity,GO_MF,-,"PF02801,PF13635,PF13173,PF00109"
MGYG000000043_02460,3,MGYG000000043_02460,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,PF07693
MGYG000000043_03311,1,MGYG000000043_03311,-,hypothetical protein,-,"COG3858,COG3409",DM,-,-,-,"GO:0005975,GO:0008061",carbohydrate metabolic process;chitin binding,"GO_BP,GO_MF",-,PF00704
MGYG000000043_03555,3,MGYG000000043_03555,-,IS1380 family transposase ISBf11,-,-,-,-,-,-,"GO:0003677,GO:0004803,GO:0006313",DNA binding;transposase activity;DNA transposition,"GO_MF,GO_MF,GO_BP",-,PF01609
MGYG000000043_03151,3,MGYG000000043_03151,-,hypothetical protein,-,"COG0810,COG4942,COG3147,COG0286,COG0553,COG4646,COG0249,COG3087",MDDVKLLLD,-,-,-,"GO:0003677,GO:0008170",DNA binding;N-methyltransferase activity,"GO_MF,GO_MF",-,"PF02384,PF00271"
MGYG000000044_00878,3,glgP_1,-,Glycogen phosphorylase,-,"COG0058,COG0438",GM,"ko:K00688,ko:K00691,ko:K16153","map00500,map01100,map01110,map02026,map04217,map04910,map04922,map04931",Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biofilm formation - Escherichia coli;Necroptosis;Insulin signaling pathway;Glucagon signaling pathway;Insulin resistance,"GO:0008184,GO:0005975,GO:0004645,GO:0030170","glycogen phosphorylase activity;carbohydrate metabolic process;1,4-alpha-oligoglucan phosphorylase activity;pyridoxal phosphate binding","GO_MF,GO_BP,GO_MF,GO_MF","2.4.1.1,2.4.1.11,2.4.1.8","PF11897,PF00343"
