gene,cluster,Name,SwissProt_gene,Product,SwissProt_product,COG_ID,COG_FID,KEGG_ID,KEGG_PID,KEGG_Pathway,GO_ID,GO_Name,GO_Category,EC_number,Pfam_ID
MGYG000000012_01541,0,csrA,csrA,Translational regulator CsrA,Translational regulator CsrA,COG1551,T,ko:K03563,"map02020,map02025,map02026,map05111",Two-component system;Biofilm formation - Pseudomonas aeruginosa;Biofilm formation - Escherichia coli;Biofilm formation - Vibrio cholerae,"GO:0003723,GO:0006109,GO:0006402",RNA binding;regulation of carbohydrate metabolic process;mRNA catabolic process,"GO_MF,GO_BP,GO_BP",-,PF02599
MGYG000000013_00611,4,gapA,gapA,Glyceraldehyde-3-phosphate dehydrogenase A,Glyceraldehyde-3-phosphate dehydrogenase,COG0057,G,ko:K00134,"map00010,map00710,map01100,map01110,map01120,map01200,map01230,map04066,map05010,map05130,map05132,map05415",Glycolysis / Gluconeogenesis;Carbon fixation in photosynthetic organisms;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;HIF-1 signaling pathway;Alzheimer disease;Pathogenic Escherichia coli infection;Salmonella infection;Diabetic cardiomyopathy,"GO:0016620,GO:0050661,GO:0051287,GO:0006006","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;NADP binding;NAD binding;glucose metabolic process","GO_MF,GO_MF,GO_MF,GO_BP",1.2.1.12,"PF02800,PF00044"
MGYG000000013_00680,5,pnp_1,rpsA,Polyribonucleotide nucleotidyltransferase,Small ribosomal subunit protein bS1,COG0539,J,ko:K02945,map03010,Ribosome,GO:0003676,nucleic acid binding,GO_MF,2.7.7.8,PF00575
MGYG000000013_02221,4,rplF,rplF,50S ribosomal protein L6,Large ribosomal subunit protein uL6,COG0097,J,ko:K02933,map03010,Ribosome,"GO:0003735,GO:0019843,GO:0006412,GO:0005840",structural constituent of ribosome;rRNA binding;translation;ribosome,"GO_MF,GO_MF,GO_BP,GO_CC",-,PF00347
MGYG000000013_02230,4,rpsC,rpsC,30S ribosomal protein S3,Small ribosomal subunit protein uS3,COG0092,J,ko:K02982,map03010,Ribosome,"GO:0003735,GO:0006412,GO:0003723,GO:0003676",structural constituent of ribosome;translation;RNA binding;nucleic acid binding,"GO_MF,GO_BP,GO_MF,GO_MF",-,"PF00189,PF07650"
MGYG000000013_02251,4,tufA,tuf,Elongation factor Tu,Elongation factor Tu,COG0050,J,ko:K02358,map04626,Plant-pathogen interaction,"GO:0003924,GO:0005525,GO:0003746,GO:0006414,GO:0016853,GO:0048029,GO:0005996",GTPase activity;GTP binding;translation elongation factor activity;translational elongation;isomerase activity;monosaccharide binding;monosaccharide metabolic process,"GO_MF,GO_MF,GO_MF,GO_BP,GO_MF,GO_MF,GO_BP",-,"PF00009,PF03144,PF03143,PF05025"
MGYG000000019_04219,6,aes,-,Acetyl esterase,-,COG0657,I,ko:K01066,-,-,GO:0016787,hydrolase activity,GO_MF,3.1.1.-,PF07859
MGYG000000029_00391,5,MGYG000000029_00391,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000029_02246,2,MGYG000000029_02246,-,hypothetical protein,-,-,-,ko:K05349,"map00460,map00500,map00946,map00999,map01100,map01110",Cyanoamino acid metabolism;Starch and sucrose metabolism;Degradation of flavonoids;Biosynthesis of various plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites,"GO:0004553,GO:0005975","hydrolase activity, hydrolyzing O-glycosyl compounds;carbohydrate metabolic process","GO_MF,GO_BP",-,"PF00754,PF14310,PF01915,PF00933"
MGYG000000029_02468,3,tufA,tuf,Elongation factor Tu,Elongation factor Tu,COG0050,J,ko:K02358,map04626,Plant-pathogen interaction,"GO:0003924,GO:0005525,GO:0003746,GO:0006414,GO:0016853,GO:0048029,GO:0005996",GTPase activity;GTP binding;translation elongation factor activity;translational elongation;isomerase activity;monosaccharide binding;monosaccharide metabolic process,"GO_MF,GO_MF,GO_MF,GO_BP,GO_MF,GO_MF,GO_BP",-,"PF03144,PF03143,PF00009,PF05025"
