gene,cluster,Name,SwissProt_gene,Product,SwissProt_product,COG_ID,COG_FID,KEGG_ID,KEGG_PID,KEGG_Pathway,GO_ID,GO_Name,GO_Category,EC_number,Pfam_ID
MGYG000000013_01093,5,groL,groEL,60 kDa chaperonin,Chaperonin GroEL,COG0459,O,ko:K04077,"map03018,map04212,map04940,map05134,map05152,map05417",RNA degradation;Longevity regulating pathway - worm;Type I diabetes mellitus;Legionellosis;Tuberculosis;Lipid and atherosclerosis,"GO:0140662,GO:0042026,GO:0005524,GO:0006457",ATP-dependent protein folding chaperone;protein refolding;ATP binding;protein folding,"GO_MF,GO_BP,GO_MF,GO_BP",-,PF00118
MGYG000000013_01203,1,fda,fba,Fructose-bisphosphate aldolase,Fructose-bisphosphate aldolase,COG0191,G,ko:K01624,"map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01200,map01230",Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Fructose and mannose metabolism;Methane metabolism;Carbon fixation in photosynthetic organisms;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids,"GO:0008270,GO:0016832,GO:0005975,GO:0004332,GO:0006096,GO:0030388","zinc ion binding;aldehyde-lyase activity;carbohydrate metabolic process;fructose-bisphosphate aldolase activity;glycolytic process;fructose 1,6-bisphosphate metabolic process","GO_MF,GO_MF,GO_BP,GO_MF,GO_BP,GO_BP",4.1.2.13,PF01116
MGYG000000013_01410,1,MGYG000000013_01410,BT_1526,hypothetical protein,Inositol-3-phosphate synthase 1,COG1260,I,ko:K01858,"map00521,map00562,map01100,map01110",Streptomycin biosynthesis;Inositol phosphate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,"GO:0004512,GO:0006021,GO:0008654",inositol-3-phosphate synthase activity;inositol biosynthetic process;phospholipid biosynthetic process,"GO_MF,GO_BP,GO_BP",-,"PF01658,PF07994"
MGYG000000013_02882,1,MGYG000000013_02882,-,Outer membrane protein 41,-,COG2885,M,-,-,-,-,-,-,-,PF00691
MGYG000000013_02889,6,rplT,rplT,50S ribosomal protein L20,Large ribosomal subunit protein bL20,COG0292,J,ko:K02887,map03010,Ribosome,"GO:0003735,GO:0019843,GO:0006412,GO:0005840",structural constituent of ribosome;rRNA binding;translation;ribosome,"GO_MF,GO_MF,GO_BP,GO_CC",-,PF00453
MGYG000000013_03256,5,uxaC,uxaC,Uronate isomerase,Uronate isomerase,COG1904,G,ko:K01812,"map00040,map01100",Pentose and glucuronate interconversions;Metabolic pathways,"GO:0008880,GO:0006064",glucuronate isomerase activity;glucuronate catabolic process,"GO_MF,GO_BP",5.3.1.12,PF02614
MGYG000000013_03470,4,susC_49,-,TonB-dependent receptor SusC,-,"COG1629,COG4206,COG4771",PHP,-,-,-,GO:0019867,outer membrane,GO_CC,-,"PF00593,PF13715,PF07715,PF07660"
MGYG000000013_00611,1,gapA,gapA,Glyceraldehyde-3-phosphate dehydrogenase A,Glyceraldehyde-3-phosphate dehydrogenase,COG0057,G,ko:K00134,"map00010,map00710,map01100,map01110,map01120,map01200,map01230,map04066,map05010,map05130,map05132,map05415",Glycolysis / Gluconeogenesis;Carbon fixation in photosynthetic organisms;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;HIF-1 signaling pathway;Alzheimer disease;Pathogenic Escherichia coli infection;Salmonella infection;Diabetic cardiomyopathy,"GO:0016620,GO:0050661,GO:0051287,GO:0006006","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;NADP binding;NAD binding;glucose metabolic process","GO_MF,GO_MF,GO_MF,GO_BP",1.2.1.12,"PF02800,PF00044"
MGYG000000013_00633,1,MGYG000000013_00633,-,hypothetical protein,-,COG0612,R,ko:K07263,-,-,"GO:0004222,GO:0006508,GO:0046872",metalloendopeptidase activity;proteolysis;metal ion binding,"GO_MF,GO_BP,GO_MF",-,"PF05193,PF00675"
MGYG000000013_00680,1,pnp_1,rpsA,Polyribonucleotide nucleotidyltransferase,Small ribosomal subunit protein bS1,COG0539,J,ko:K02945,map03010,Ribosome,GO:0003676,nucleic acid binding,GO_MF,2.7.7.8,PF00575
MGYG000000013_01690,1,maeB,maeB,NADP-dependent malic enzyme,NADP-dependent malic enzyme,"COG0281,COG0280",CC,"ko:K00027,ko:K00029","map00620,map01200,map02020,map00620,map00710,map01100,map01120,map01200,map03320",Pyruvate metabolism;Carbon metabolism;Two-component system;Pyruvate metabolism;Carbon fixation in photosynthetic organisms;Metabolic pathways;Microbial metabolism in diverse environments;Carbon metabolism;PPAR signaling pathway,"GO:0016746,GO:0004470,GO:0046872,GO:0006108,GO:0016616,GO:0051287","acyltransferase activity;malic enzyme activity;metal ion binding;malate metabolic process;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;NAD binding","GO_MF,GO_MF,GO_MF,GO_BP,GO_MF,GO_MF",1.1.1.40,"PF03949,PF00390,PF01515"
MGYG000000013_01885,5,MGYG000000013_01885,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000013_02209,1,rpoA,rpoA,DNA-directed RNA polymerase subunit alpha,DNA-directed RNA polymerase subunit alpha,COG0202,K,ko:K03040,map03020,RNA polymerase,"GO:0003677,GO:0003899,GO:0006351,GO:0046983",DNA binding;DNA-directed 5'-3' RNA polymerase activity;DNA-templated transcription;protein dimerization activity,"GO_MF,GO_MF,GO_BP,GO_MF",2.7.7.6,"PF03118,PF01193,PF01000"
