gene,cluster,Name,SwissProt_gene,Product,SwissProt_product,COG_ID,COG_FID,KEGG_ID,KEGG_PID,KEGG_Pathway,GO_ID,GO_Name,GO_Category,EC_number,Pfam_ID
MGYG000000019_04219,1,aes,-,Acetyl esterase,-,COG0657,I,ko:K01066,-,-,GO:0016787,hydrolase activity,GO_MF,3.1.1.-,PF07859
MGYG000000029_03196,1,MGYG000000029_03196,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000034_00238,1,addB,-,ATP-dependent helicase/deoxyribonuclease subunit B,-,COG3857,L,ko:K16899,-,-,"GO:0003677,GO:0003678,GO:0005524,GO:0016787",DNA binding;DNA helicase activity;ATP binding;hydrolase activity,"GO_MF,GO_MF,GO_MF,GO_MF",3.1.-.-,PF12705
MGYG000000042_02596,0,gapA,gapA,Glyceraldehyde-3-phosphate dehydrogenase A,Glyceraldehyde-3-phosphate dehydrogenase,COG0057,G,ko:K00134,"map00010,map00710,map01100,map01110,map01120,map01200,map01230,map04066,map05010,map05130,map05132,map05415",Glycolysis / Gluconeogenesis;Carbon fixation in photosynthetic organisms;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;HIF-1 signaling pathway;Alzheimer disease;Pathogenic Escherichia coli infection;Salmonella infection;Diabetic cardiomyopathy,"GO:0016620,GO:0050661,GO:0051287,GO:0006006","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;NADP binding;NAD binding;glucose metabolic process","GO_MF,GO_MF,GO_MF,GO_BP",1.2.1.12,"PF02800,PF00044"
MGYG000000054_02411,1,MGYG000000054_02411,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000056_00423,1,MGYG000000056_00423,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000063_03821,1,dhaL-2,-,PEP-dependent dihydroxyacetone kinase 2%2C ADP-binding subunit DhaL,-,COG2376,G,ko:K05879,"map00561,map01100",Glycerolipid metabolism;Metabolic pathways,"GO:0004371,GO:0006071",glycerone kinase activity;glycerol metabolic process,"GO_MF,GO_BP",2.7.1.121,PF02734
MGYG000000065_00860,1,MGYG000000065_00860,-,hypothetical protein,-,COG4767,V,-,-,-,-,-,-,-,PF04892
MGYG000000066_04209,1,rsxE,rnfE,Electron transport complex subunit RsxE,Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit E,COG4660,C,ko:K03613,-,-,"GO:0016020,GO:0022900",membrane;electron transport chain,"GO_CC,GO_BP",-,PF02508
MGYG000000077_00354,1,MGYG000000077_00354,trmK,hypothetical protein,tRNA (adenine(22)-N(1))-methyltransferase,COG2384,J,ko:K06967,-,-,GO:0160105,tRNA (adenine(22)-N1)-methyltransferase activity,GO_MF,-,PF12847
MGYG000000083_05777,1,MGYG000000083_05777,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000098_01635,2,MGYG000000098_01635,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000112_01922,3,MGYG000000112_01922,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000120_00991,1,MGYG000000120_00991,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000123_05257,0,MGYG000000123_05257,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
