gene,cluster,Name,SwissProt_gene,Product,SwissProt_product,COG_ID,COG_FID,KEGG_ID,KEGG_PID,KEGG_Pathway,GO_ID,GO_Name,GO_Category,EC_number,Pfam_ID
MGYG000000042_02486,2,dnaG_3,-,DNA primase,-,COG0358,L,-,-,-,"GO:0003677,GO:0003896,GO:0008270,GO:0006260",DNA binding;DNA primase activity;zinc ion binding;DNA replication,"GO_MF,GO_MF,GO_MF,GO_BP",2.7.7.-,"PF01807,PF08275,PF13662"
MGYG000000043_02460,0,MGYG000000043_02460,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,PF07693
MGYG000000044_00878,6,glgP_1,-,Glycogen phosphorylase,-,"COG0058,COG0438",GM,"ko:K00688,ko:K00691,ko:K16153","map00500,map01100,map01110,map02026,map04217,map04910,map04922,map04931",Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biofilm formation - Escherichia coli;Necroptosis;Insulin signaling pathway;Glucagon signaling pathway;Insulin resistance,"GO:0008184,GO:0005975,GO:0004645,GO:0030170","glycogen phosphorylase activity;carbohydrate metabolic process;1,4-alpha-oligoglucan phosphorylase activity;pyridoxal phosphate binding","GO_MF,GO_BP,GO_MF,GO_MF","2.4.1.1,2.4.1.11,2.4.1.8","PF11897,PF00343"
MGYG000000044_00879,0,kefB_2,-,Glutathione-regulated potassium-efflux system protein KefB,-,"COG0569,COG4651,COG0490,COG0475,COG3273",PTPPTPR,ko:K03455,-,-,"GO:0008324,GO:0006813,GO:0015297,GO:0006812,GO:0055085,GO:1902600,GO:0016020",monoatomic cation transmembrane transporter activity;potassium ion transport;antiporter activity;monoatomic cation transport;transmembrane transport;proton transmembrane transport;membrane,"GO_MF,GO_BP,GO_MF,GO_BP,GO_BP,GO_BP,GO_CC",-,"PF00999,PF02080"
MGYG000000054_02411,5,MGYG000000054_02411,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000054_03628,2,MGYG000000054_03628,-,hypothetical protein,-,COG1373,R,-,-,-,-,-,-,-,"PF13173,PF02645"
MGYG000000056_00423,5,MGYG000000056_00423,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000083_05777,0,MGYG000000083_05777,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000098_01635,5,MGYG000000098_01635,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000112_01922,6,MGYG000000112_01922,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000119_00567,2,MGYG000000119_00567,-,hypothetical protein,-,"COG0810,COG4942,COG3103,COG3883,COG4991,COG0791,COG0739,COG3584",MDRSSMMS,ko:K21471,-,-,-,-,-,-,-
MGYG000000123_05257,2,MGYG000000123_05257,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000141_03467,2,MGYG000000141_03467,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000144_02714,0,MGYG000000144_02714,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000144_00243,2,MGYG000000144_00243,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,PF10110
MGYG000000144_00846,5,MGYG000000144_00846,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000174_03647,5,MGYG000000174_03647,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000180_01416,5,MGYG000000180_01416,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000184_02477,6,MGYG000000184_02477,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000198_02930,6,dctP_2,-,Solute-binding protein,-,COG1638,G,-,-,-,GO:0055085,transmembrane transport,GO_BP,-,PF03480
MGYG000000213_04194,2,MGYG000000213_04194,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000224_00350,5,MGYG000000224_00350,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000243_01805,2,macB_3,-,Macrolide export ATP-binding/permease protein MacB,-,COG0577,V,ko:K02004,-,-,GO:0016020,membrane,GO_CC,3.6.3.-,"PF12704,PF02687"
MGYG000000243_02281,2,MGYG000000243_02281,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
MGYG000000243_00572,4,gltA,-,Citrate synthase,-,COG0372,C,"ko:K01647,ko:K01659","map00020,map00630,map01100,map01110,map01120,map01200,map01210,map01230,map00640,map01130",Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Propanoate metabolism;Biosynthesis of antibiotics,GO:0046912,"acyltransferase activity, acyl groups converted into alkyl on transfer",GO_MF,"2.3.3.16,2.3.3.1,2.3.3.5",PF00285
MGYG000000243_00574,4,acnD,-,2-methylcitrate dehydratase (2-methyl-trans-aconitate forming),-,COG1048,C,ko:K01681,"map00020,map00630,map00720,map01100,map01110,map01120,map01200,map01210,map01230,map01130",Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;Carbon fixation pathways in prokaryotes;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics,"GO:0003994,GO:0051539,GO:0006099","aconitate hydratase activity;4 iron, 4 sulfur cluster binding;tricarboxylic acid cycle","GO_MF,GO_MF,GO_BP","4.2.1.117,4.2.1.3","PF00694,PF00330"
MGYG000000243_02784,6,fbaB_2,fbaB,Fructose-bisphosphate aldolase class 1,Fructose-bisphosphate aldolase class 1,COG1830,G,ko:K11645,"map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01200,map01230",Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Fructose and mannose metabolism;Methane metabolism;Carbon fixation in photosynthetic organisms;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids,"GO:0016829,GO:0004332",lyase activity;fructose-bisphosphate aldolase activity,"GO_MF,GO_MF",4.1.2.13,PF01791
MGYG000000243_02786,3,MGYG000000243_02786,-,Acid shock protein,-,COG0071,O,ko:K01834,"map00010,map00260,map00680,map01100,map01110,map01120,map01200,map01230,map04922,map05230","Glycolysis / Gluconeogenesis;Glycine, serine and threonine metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Glucagon signaling pathway;Central carbon metabolism in cancer","GO:0003824,GO:0016868,GO:0006096",catalytic activity;intramolecular phosphotransferase activity;glycolytic process,"GO_MF,GO_MF,GO_BP",-,"PF00011,PF00300"
MGYG000000391_01314,5,MGYG000000391_01314,-,hypothetical protein,-,COG5841,D,ko:K06409,-,-,GO:0016020,membrane,GO_CC,-,PF01943
MGYG000000415_00883,5,MGYG000000415_00883,-,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
